Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1993,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",153221,150087,170439,176456,182231,181535,183682,183318,177406,182737,187443,224540,2153095
,Retail sales and food services excl motor vehicle and parts,121021,117300,131181,135401,140841,138540,140704,141612,137132,142450,148461,185536,1680179
,Retail sales and food services excl gasoline stations,140694,138027,157276,163079,168142,167536,169235,169197,164030,168776,173923,210804,1990719
,Retail sales and food services excl motor vehicle and parts and gasoline stations,108494,105240,118018,122024,126752,124541,126257,127491,123756,128489,134941,171800,1517803
,"Retail sales, total",137020,134462,153025,158615,163519,162964,164590,163989,159298,163992,169980,206174,1937628
,"Retail sales, total (excl. motor vehicle and parts dealers)",104820,101675,113767,117560,122129,119969,121612,122283,119024,123705,130998,167170,1464712
,GAFO(1),36694,35872,41191,43631,45350,44410,44915,47477,45182,47654,55243,83163,570782
441,Motor vehicle and parts dealers,32200,32787,39258,41055,41390,42995,42978,41706,40274,40287,38982,39004,472916
"4411,4412",Automobile and other motor vehicle dealers,29054,29613,35641,37254,37595,39040,38923,37643,36378,36354,35206,35405,428106
4411,Automobile dealers,27823,28364,33803,35150,35095,36890,36647,35804,34668,34873,33932,34077,407126
44111,New car dealers,25801,26165,31277,32586,32786,34497,34162,33517,32501,32534,31679,32017,379522
44112,Used car dealers,2022,2199,2526,2564,2309,2393,2485,2287,2167,2339,2253,2060,27604
