Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2003,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2003,Feb. 2003,Mar. 2003,Apr. 2003,May 2003,Jun. 2003,Jul. 2003,Aug. 2003,Sep. 2003,Oct. 2003,Nov. 2003,Dec. 2003,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",268328,259051,293693,294251,312389,300998,309923,317056,293890,304036,301265,357577,3612457
,Retail sales and food services excl motor vehicle and parts,206194,198030,221829,221855,235659,226376,231445,239394,223768,235903,239588,290828,2770869
,Retail sales and food services excl gasoline stations,247124,238199,269821,271422,289096,278197,285929,292091,270490,280391,279319,335191,3337270
,Retail sales and food services excl motor vehicle and parts and gasoline stations,184990,177178,197957,199026,212366,203575,207451,214429,200368,212258,217642,268442,2495682
,"Retail sales, total",242271,233478,264532,265990,281482,271242,279323,285212,265331,273781,272396,327693,3262731
,"Retail sales, total (excl. motor vehicle and parts dealers)",180137,172457,192668,193594,204752,196620,200845,207550,195209,205648,210719,260944,2421143
,GAFO(1),65160,64466,71997,71294,76942,73813,74664,82179,72786,77420,88885,126508,946114
441,Motor vehicle and parts dealers,62134,61021,71864,72396,76730,74622,78478,77662,70122,68133,61677,66749,841588
"4411,4412",Automobile and other motor vehicle dealers,57364,56368,66594,66968,71174,69078,72642,71996,64633,62411,56568,61576,777372
4411,Automobile dealers,54379,53150,61877,61336,65092,63414,66899,66850,60369,58079,53065,57750,722260
44111,New car dealers,49170,47673,56000,55764,59506,58090,61433,61356,55297,53065,48537,53314,659205
44112,Used car dealers,5209,5477,5877,5572,5586,5324,5466,5494,5072,5014,4528,4436,63055
4413,"Automotive parts, acc., and tire stores",4770,4653,5270,5428,5556,5544,5836,5666,5489,5722,5109,5173,64216
"442,443","Furniture, home furn, electronics, and appliance stores",14212,13265,14511,13728,15036,14829,15295,16235,15230,15728,17835,23682,189586
442,Furniture and home furnishings stores,7190,6713,7618,7374,8078,7753,8074,8384,8017,8351,9018,10166,96736
4421,Furniture stores,4036,3824,4283,3989,4375,4138,4285,4530,4259,4410,4689,4901,51719
4422,Home furnishings stores,3154,2889,3335,3385,3703,3615,3789,3854,3758,3941,4329,5265,45017
