Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2004,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2004,Feb. 2004,Mar. 2004,Apr. 2004,May 2004,Jun. 2004,Jul. 2004,Aug. 2004,Sep. 2004,Oct. 2004,Nov. 2004,Dec. 2004,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",281460,282444,319077,315191,328408,321044,328000,326317,313524,319726,324259,387155,3846605
,Retail sales and food services excl motor vehicle and parts,220314,217214,240415,241939,250917,245689,249163,249940,239944,250981,259038,314679,2980233
,Retail sales and food services excl gasoline stations,258687,259890,293475,288984,299830,292641,298714,297588,286173,290182,296583,359852,3522599
,Retail sales and food services excl motor vehicle and parts and gasoline stations,197541,194660,214813,215732,222339,217286,219877,221211,212593,221437,231362,287376,2656227
,"Retail sales, total",252818,253689,287944,284325,296253,289664,294875,294133,282974,287468,294278,354627,3473048
,"Retail sales, total (excl. motor vehicle and parts dealers)",191672,188459,209282,211073,218762,214309,216038,217756,209394,218723,229057,282151,2606676
,GAFO(1),70448,72295,77591,77093,80595,77927,79732,83081,76941,81807,92634,133747,1003891
441,Motor vehicle and parts dealers,61146,65230,78662,73252,77491,75355,78837,76377,73580,68745,65221,72476,866372
"4411,4412",Automobile and other motor vehicle dealers,56235,60208,72817,67574,71922,69485,72936,70514,68038,63129,59803,66928,799589
4411,Automobile dealers,52917,56122,66693,61142,65214,62812,66631,65194,63519,58913,56199,62718,738074
44111,New car dealers,47864,50584,60638,55578,59332,57264,60858,59246,57973,53128,50718,57370,670553
44112,Used car dealers,5053,5538,6055,5564,5882,5548,5773,5948,5546,5785,5481,5348,67521
4413,"Automotive parts, acc., and tire stores",4911,5022,5845,5678,5569,5870,5901,5863,5542,5616,5418,5548,66783
"442,443","Furniture, home furn, electronics, and appliance stores",15277,15022,16161,15050,15595,16192,16723,17093,16164,16431,19031,25031,203770
442,Furniture and home furnishings stores,7651,7613,8499,7991,8112,8443,8895,8883,8441,8718,9594,10917,103757
4421,Furniture stores,4365,4335,4638,4307,4458,4573,4846,4786,4525,4683,5012,5321,55849
4422,Home furnishings stores,3286,3278,3861,3684,3654,3870,4049,4097,3916,4035,4582,5596,47908
44221,Floor covering stores,1439,1523,1814,1749,1646,1785,1825,1832,1851,1860,1828,1755,20907
442299,All other home furnishings stores,1747,1657,1931,1820,1893,1960,2105,2149,1956,2051,2623,3687,25579
443,Electronics and appliance stores,7626,7409,7662,7059,7483,7749,7828,8210,7723,7713,9437,14114,100013
443141,Household appliance stores,1158,1147,1277,1203,1290,1341,1312,1299,1250,1278,1412,1641,15608
443142,Electronics stores,6468,6262,6385,5856,6193,6408,6516,6911,6473,6435,8025,12473,84405
444,Building mat. and garden equip. and supplies dealers,18081,17862,24942,28261,28431,28623,26162,25578,25136,24833,24035,23330,295274
4441,Building mat. and supplies dealers,16526,16258,21879,23351,23595,24738,23341,23253,22852,22415,21872,21120,261200
44412,Paint and wallpaper stores,569,582,757,780,807,865,837,829,758,755,695,646,8880
44413,Hardware stores,1197,1138,1421,1636,1801,1736,1689,1571,1535,1496,1489,1591,18300
445,Food and beverage stores,39978,37184,39604,39857,41918,40447,42512,40617,40270,41050,41018,45925,490380
4451,Grocery stores,36475,33701,35892,35876,37733,36362,38170,36607,36360,37004,36876,40080,441136
44511,Supermarkets and other grocery (except convenience) stores,34761,32066,34081,34064,35785,34405,36142,34629,34442,35064,35117,38249,418805
4453,"Beer, wine, and liquor stores",2293,2219,2398,2553,2685,2643,2867,2622,2618,2727,2763,3801,32189
446,Health and personal care stores,16336,15649,17170,16542,16528,16388,16306,16377,15986,16421,16460,19127,199290
44611,Pharmacies and drug stores,14065,13341,14506,14034,14025,13877,13747,13783,13632,14055,14017,16149,169231
447,Gasoline stations,22773,22554,25602,26207,28578,28403,29286,28729,27351,29544,27676,27303,324006
448,Clothing and clothing access. stores,11790,13344,14760,15058,15379,14237,14667,15588,14224,15570,17230,28406,190253
